Date,AES,ALLE,GOOG,ADI,AMAT,ATO,AVB,BAC,BAX,BIIB,BSX,BXP,KMX,COR,CRL,Treasury Bond 10Y,HML,MOM,Treasury Bond 3M,WTI index,Dollar index ,TRCCRB,BCI,CCI,CLI,GPRI,Unemployment rate
30/11/2013,9.995510101,38.71965027,26.29634476,37.78770065,14.91079712,33.61960602,81.89042664,12.74306202,30.43139458,290.9700012,11.57999992,62.30864334,50.34999847,59.89948654,52.16999817,2.72,0.32,0.44,0.07,0.18,0,0.09,100.4389,99.53159,100.4389,1.76,6.9
31/12/2013,9.954349518,39.57031631,27.81319046,40.18709564,15.23832035,34.35326004,82.40514374,12.54976463,31.14703178,279.5700073,12.02000046,64.66287231,47.02000046,59.71261215,53.04000092,2.9,-0.02,0.02,0.07,0.08,0.01,0.04,100.409,99.6171,100.409,1.63,6.7
31/01/2014,9.680836678,44.19089127,29.30868912,38.08818436,14.49709225,36.31219482,86.07828522,13.50087166,30.58722496,312.6400146,13.52999973,69.63645172,45.11000061,57.08836746,56.52999878,2.86,-2.07,1.71,0.04,0.07,-0.02,0.05,100.357,99.67163,100.357,1.7,6.6
28/02/2014,9.398537636,48.66819,30.16935921,40.39451218,16.42860222,35.15703964,89.89083099,13.32354355,31.12463951,340.6799927,13.10000038,72.4324646,48.43000031,57.82400894,59.40999985,2.71,-0.31,2.07,0.05,0.27,-0.02,0.11,100.3933,99.71871,100.3933,1.46,6.7
31/03/2014,9.832315445,46.78504944,27.67281914,42.23857498,17.69368172,35.94254684,92.35250854,13.87187099,33.18738556,305.8699951,13.52000046,74.21482086,46.79999924,55.89797211,60.34000015,2.72,4.93,-3.29,0.05,-0.11,0,-0.03,100.4671,99.80572,100.4671,2.7,6.7
30/04/2014,9.984153748,44.25611115,26.16687965,40.76808167,16.51525307,38.92441177,96.03059387,12.21047115,32.83106995,287.1199951,12.60999966,75.90603638,43.77999878,55.54855347,53.72000122,2.71,1.17,-3.89,0.03,-0.06,0.02,-0.03,100.5283,99.91365,100.5283,2.11,6.2
31/05/2014,9.742324829,46.98234177,27.8178997,41.9270668,17.58177376,38.4908905,99.75083923,12.21047115,33.56175995,319.3699951,12.82999992,78.19996643,44.31000137,62.58495331,53.58000183,2.56,-0.13,0.87,0.03,0.06,-0.01,0.07,100.5398,99.96597,100.5398,1.8,6.3
30/06/2014,10.74419308,50.90180206,28.58254623,43.27981186,19.63689804,41.02622604,100.8156738,12.40394306,32.84083557,315.3099976,12.77000046,77.00299072,52.00999832,62.1402359,53.52000046,2.6,-0.7,0.69,0.04,0.03,-0.04,0.04,100.5255,99.97855,100.5255,2.13,6.1
31/07/2014,10.12824535,46.1870079,28.39970589,39.7258606,18.25230026,37.12334824,104.991806,12.3071022,33.92644119,334.3900146,12.77999973,77.83049011,48.81000137,65.77492523,54.20999908,2.54,0.04,-0.12,0.03,0.11,-0.01,0.04,100.5323,99.95599,100.5323,2.92,6.2
31/08/2014,10.52339268,46.1870079,28.39970589,40.91851425,20.21603203,39.13015747,109.2601089,12.9849987,34.05817413,343.0400085,12.68000031,79.11408234,52.40000153,66.39033508,59.09999847,2.42,-0.45,0.82,0.03,0.88,-0.01,0.13,100.5508,99.93764,100.5508,2.8,6.1
30/09/2014,9.830147743,42.84922028,28.68588829,39.90547562,18.90387726,36.91669464,100.7801208,13.8021574,32.82989883,330.8099976,11.81000042,75.86000824,46.45000076,66.31315613,59.74000168,2.53,-1.35,0.5,0.02,-0.08,0,-0.04,100.5251,99.94915,100.5251,2.91,5.9
31/10/2014,9.790395737,47.75115967,27.77765465,40.01031494,19.32376289,41.01856232,111.4107895,13.89120197,32.08428955,321.0799866,13.27999973,83.06199646,55.90999985,73.27045441,63.15999985,2.3,-1.8,-0.06,0.02,-0.54,0.01,-0.24,100.5164,100.0032,100.5164,1.77,5.7
30/11/2014,9.651230812,48.43474579,26.92059708,44.0581131,21.13232231,41.86759186,114.9495697,13.79406261,33.39252853,307.6900024,12.86999989,84.95587158,56.97999954,78.36500549,64.75,2.33,-3.1,0.68,0.02,-0.13,0.01,-0.06,100.4568,100.1111,100.4568,1.76,5.8
31/12/2014,9.581647873,49.9565773,26.15396309,45.06972122,21.89677811,43.45808411,117.6231689,14.52449036,33.76343918,339.4500122,13.25,87.67063141,66.58000183,77.59898376,63.63999939,2.21,2.27,1.12,0.03,-0.16,0.01,-0.08,100.3425,100.2978,100.3425,1.78,5.6
31/01/2015,8.572010994,48.65047073,26.55740166,42.30155945,20.0691185,44.37029266,124.5341492,12.29994678,32.39060593,389.1600037,14.81000042,94.55809021,62.09999847,81.80770111,69.34999847,1.88,-3.59,3.84,0.03,0.11,-0.02,0.05,100.2571,100.5029,100.2571,2.1,5.7
28/02/2015,9.098116875,52.00131226,27.74386787,47.84232712,22.10256767,41.65649796,121.1866608,12.83578777,31.85621452,409.5899963,16.89999962,93.61116791,67.11000061,88.70407867,76.66999817,1.98,-1.86,-2.82,0.02,0.02,0.01,0,100.2057,100.6382,100.2057,2.42,5.5
31/03/2015,9.013936996,55.19447327,27.22714996,51.4872818,19.90553665,43.43146133,126.3387375,12.53386974,31.80092239,422.2399902,17.75,96.14775085,69.01000214,98.12176514,79.29000092,2.04,-0.38,2.74,0.03,0,-0.02,0.02,100.1764,100.6968,100.1764,2.5,5.4
30/04/2015,9.294527054,55.17643356,26.77081108,50.53928375,17.46146965,42.41046524,119.153511,12.97365665,31.91232872,373.9299927,17.81999969,90.55596161,68.11000061,98.66561127,69.16000366,1.94,1.82,-7.27,0.02,-0.02,0,0.02,100.1801,100.6937,100.1801,2.44,5.4
31/05/2015,9.612591743,56.34042358,26.51024628,55.87522888,17.84987068,42.73321152,120.7196198,13.43787289,31.1652298,396.9899902,18.27000046,88.99549866,71.04000092,97.41073608,72.33999634,2.2,-1.15,5.82,0.02,-0.06,0.01,-0.05,100.1774,100.6271,100.1774,1.67,5.6
30/06/2015,9.37227726,54.3532486,25.93232155,52.77560425,17.04294968,40.56570053,116.8167648,13.90294552,32.71859741,403.9400024,17.70000076,83.28171539,66.20999908,92.0279007,70.33999634,2.36,-0.79,3.01,0.02,0,0.03,-0.01,100.122,100.576,100.122,1.91,5.3
31/07/2015,9.118215561,57.13689423,31.16851044,47.95764542,15.3936367,43.74577332,125.9285736,14.60544491,34.52331161,318.7799988,17.34000015,84.82293701,64.51000214,91.51728821,77.62000275,2.32,-4.13,9.98,0.03,0.09,-0.02,0.03,100.0339,100.4687,100.0339,2.45,5.2
31/08/2015,8.548326492,53.87426758,30.80182648,46.2927475,14.351758,43.6384697,120.6090698,13.34747887,33.11929321,297.2999878,16.73999977,78.0112381,61,86.81698608,68.88999939,2.17,2.77,-2.09,0.07,-0.16,0,-0.05,99.93605,100.3811,99.93605,1.86,5.1
30/09/2015,6.974010468,52.19798279,30.31208611,46.74855042,13.10300159,46.33849716,128.6832886,12.76764011,28.38334846,291.8099976,16.40999985,81.92241669,59.31999969,82.43449402,63.52000046,2.17,0.56,5.22,0.02,0.06,0,0,99.84574,100.3537,99.84574,2.29,5
31/10/2015,7.871129036,58.99658203,35.4132576,49.82312393,14.95829868,50.17746353,128.6906738,13.75102997,32.30604553,290.5100098,18.28000069,87.07715607,59.00999832,83.75360107,65.23999786,2.07,-0.46,-3.28,0.02,0.05,0.01,0.01,99.79615,100.4605,99.79615,2.04,5
