date,CCI
2010-01,99.36974
2010-02,99.38612
2010-03,99.38269
2010-04,99.3591
2010-05,99.30758
2010-06,99.26123
2010-07,99.21403
2010-08,99.23269
2010-09,99.25922
2010-10,99.30284
2010-11,99.38306
2010-12,99.41717
2011-01,99.37714
2011-02,99.26785
2011-03,99.03993
2011-04,98.90807
2011-05,98.89954
2011-06,98.81643
2011-07,98.58212
2011-08,98.30434
2011-09,98.1952
2011-10,98.2112
2011-11,98.34525
2011-12,98.53212
2012-01,98.73889
2012-02,98.88557
2012-03,98.95162
2012-04,98.95025
2012-05,98.91577
2012-06,98.82266
2012-07,98.77161
2012-08,98.77253
2012-09,98.81677
2012-10,98.8774
2012-11,98.88602
2012-12,98.83657
2013-01,98.90351
2013-02,99.02058
2013-03,99.12946
2013-04,99.23539
2013-05,99.38135
2013-06,99.51126
2013-07,99.61655
2013-08,99.63002
2013-09,99.57681
2013-10,99.50415
2013-11,99.53159
2013-12,99.6171
2014-01,99.67163
2014-02,99.71871
2014-03,99.80572
2014-04,99.91365
2014-05,99.96597
2014-06,99.97855
2014-07,99.95599
2014-08,99.93764
2014-09,99.94915
2014-10,100.0032
2014-11,100.1111
2014-12,100.2978
2015-01,100.5029
2015-02,100.6382
2015-03,100.6968
2015-04,100.6937
2015-05,100.6271
2015-06,100.576
2015-07,100.4687
2015-08,100.3811
2015-09,100.3537
2015-10,100.4605
2015-11,100.5968
2015-12,100.6424
2016-01,100.5739
2016-02,100.4646
2016-03,100.4003
2016-04,100.4033
2016-05,100.4555
2016-06,100.4448
2016-07,100.3659
2016-08,100.3498
2016-09,100.385
2016-10,100.4223
2016-11,100.494
2016-12,100.5511
2017-01,100.5459
2017-02,100.5695
2017-03,100.6679
2017-04,100.7738
2017-05,100.8443
2017-06,100.8688
2017-07,100.9003
2017-08,100.9634
2017-09,101.0384
2017-10,101.1268
2017-11,101.1524
2017-12,101.145
2018-01,101.1445
2018-02,101.1615
2018-03,101.169
2018-04,101.1547
2018-05,101.1484
2018-06,101.1629
2018-07,101.1834
2018-08,101.1364
2018-09,101.0658
2018-10,100.9739
2018-11,100.868
2018-12,100.7903
2019-01,100.762
2019-02,100.828
2019-03,100.9063
2019-04,100.9195
2019-05,100.8876
2019-06,100.7931
2019-07,100.6653
2019-08,100.5149
2019-09,100.4945
2019-10,100.5685
2019-11,100.7113
2019-12,100.8145
2020-01,100.7442
2020-02,100.2579
2020-03,99.21366
2020-04,98.0984
2020-05,97.75101
2020-06,97.95555
2020-07,98.23147
2020-08,98.48476
2020-09,98.70033
2020-10,98.78209
2020-11,98.79487
2020-12,98.90903
2021-01,99.04838
2021-02,99.32408
2021-03,99.73077
2021-04,100.0533
2021-05,100.2977
2021-06,100.4494
2021-07,100.3499
2021-08,100.1112
2021-09,99.94838
2021-10,99.76662
2021-11,99.54099
2021-12,99.30225
2022-01,98.9682
2022-02,98.50503
2022-03,97.9614
2022-04,97.56681
2022-05,97.1936
2022-06,96.82279
2022-07,96.62451
2022-08,96.63401
2022-09,96.65776
2022-10,96.75717
2022-11,96.93988
2022-12,97.21239
2023-01,97.51608
2023-02,97.7611
2023-03,97.92551
2023-04,98.13017
2023-05,98.31489
2023-06,98.49357
2023-07,98.57818
2023-08,98.481
2023-09,98.3225
2023-10,98.22131
2023-11,98.33208
2023-12,98.6585
2024-01,99.00072
2024-02,99.18476
2024-03,99.23914
2024-04,99.15952
2024-05,99.01553
2024-06,98.93451
2024-07,98.9148
2024-08,98.95267
2024-09,99.02384
2024-10,99.08997
2024-11,99.09577
2024-12,99.04737
2025-01,98.96567
