date,GPRI_USA
2010-01,2.06
2010-02,1.81
2010-03,1.66
2010-04,1.97
2010-05,2.03
2010-06,2.12
2010-07,1.62
2010-08,1.73
2010-09,1.55
2010-10,1.43
2010-11,2.03
2010-12,2.11
2011-01,1.53
2011-02,1.8
2011-03,2.94
2011-04,1.92
2011-05,2.3
2011-06,1.8
2011-07,1.57
2011-08,1.7
2011-09,1.64
2011-10,1.53
2011-11,1.74
2011-12,1.83
2012-01,1.78
2012-02,1.91
2012-03,1.91
2012-04,1.97
2012-05,1.63
2012-06,1.49
2012-07,1.7
2012-08,1.74
2012-09,1.57
2012-10,1.56
2012-11,1.57
2012-12,1.56
2013-01,1.76
2013-02,1.84
2013-03,1.64
2013-04,2.22
2013-05,1.77
2013-06,1.86
2013-07,1.43
2013-08,2.06
2013-09,2.36
2013-10,1.57
2013-11,1.76
2013-12,1.63
2014-01,1.7
2014-02,1.46
2014-03,2.7
2014-04,2.11
2014-05,1.8
2014-06,2.13
2014-07,2.92
2014-08,2.8
2014-09,2.91
2014-10,1.77
2014-11,1.76
2014-12,1.78
2015-01,2.1
2015-02,2.42
2015-03,2.5
2015-04,2.44
2015-05,1.67
2015-06,1.91
2015-07,2.45
2015-08,1.86
2015-09,2.29
2015-10,2.04
2015-11,3.17
2015-12,3.35
2016-01,2.51
2016-02,2.25
2016-03,2.45
2016-04,2.01
2016-05,1.92
2016-06,1.77
2016-07,2.46
2016-08,2.15
2016-09,2.61
2016-10,2
2016-11,1.92
2016-12,2.3
2017-01,2.57
2017-02,3.02
2017-03,2.14
2017-04,3.08
2017-05,2.52
2017-06,2.86
2017-07,2.62
2017-08,3.56
2017-09,2.88
2017-10,2.1
2017-11,2.18
2017-12,2
2018-01,2.2
2018-02,1.59
2018-03,2.75
2018-04,3.36
2018-05,3.32
2018-06,2.62
2018-07,2.69
2018-08,2.81
2018-09,1.82
2018-10,2.39
2018-11,1.95
2018-12,2.23
2019-01,2.25
2019-02,2.43
2019-03,1.88
2019-04,1.94
2019-05,2.78
2019-06,2.87
2019-07,2.38
2019-08,2.75
2019-09,2.33
2019-10,2.47
2019-11,1.74
2019-12,1.72
2020-01,3.62
2020-02,1.52
2020-03,1.71
2020-04,1.53
2020-05,1.71
2020-06,1.65
2020-07,1.54
2020-08,1.46
2020-09,1.7
2020-10,1.66
2020-11,1.31
2020-12,1.44
2021-01,1.9
2021-02,1.58
2021-03,1.76
2021-04,1.98
2021-05,2.02
2021-06,1.7
2021-07,1.25
2021-08,2.15
2021-09,1.92
2021-10,1.64
2021-11,1.86
2021-12,2.48
2022-01,3.32
2022-02,4.88
2022-03,6.9
2022-04,3.97
2022-05,3.15
2022-06,2.88
2022-07,2.59
2022-08,3.13
2022-09,2.93
2022-10,3.4
2022-11,2.7
2022-12,2.55
2023-01,2.41
2023-02,2.98
2023-03,2.62
2023-04,2.44
2023-05,2.51
2023-06,2.46
2023-07,2.48
2023-08,2.16
2023-09,2.22
2023-10,4.42
2023-11,3.73
2023-12,3.42
2024-01,3.85
2024-02,3.39
2024-03,2.94
2024-04,4.01
2024-05,3.1
2024-06,2.68
2024-07,2.09
2024-08,3.2
2024-09,2.97
2024-10,3.03
2024-11,3.14
2024-12,3.26
2025-01,2.65
