Simulación,Start Date,End Date,Metodología,Rendimiento Anual Promedio,Desviación Estándar,Rendimiento Efectivo,Downside Risk,CAGR,Sortino ratio
1,2019-01-28,2024-01-28,SVR-CPO,0.1664646537209028,0.24865437280484884,0.9759040905169654,0.19955271153714074,0.1459383949072064,0.6237181783307286
1,2019-01-28,2024-01-28,XGBoost-CPO,0.2074971513947538,0.26891324667460437,1.3657312219114663,0.21310613811645054,0.18796411028775561,0.776594953376326
1,2019-01-28,2024-01-28,EqualWeight,0.1911010459926657,0.24692874693734385,1.241126009429928,0.1995568150329107,0.17517583282642035,0.7471608823185322
1,2019-01-28,2024-01-28,MinVar,0.1024352615242451,0.19399477342085508,0.523079319091659,0.14982587647564513,0.0878011349234773,0.403369984850842
1,2019-01-28,2024-01-28,MaxSharpe,0.12659509448266837,0.23338534461371827,0.6474913083216254,0.18262169989612087,0.10502108146185418,0.46322586270299676
2,2015-10-14,2020-10-14,SVR-CPO,0.15988913250722814,0.21925033340421057,0.9799603704309756,0.19586357579371058,0.14632283444791483,0.6018941093539133
2,2015-10-14,2020-10-14,XGBoost-CPO,0.20988549538811918,0.2253497713991804,1.5292138756682534,0.1934650699617427,0.20382684934544493,0.8677819485518402
2,2015-10-14,2020-10-14,EqualWeight,0.2061285302876643,0.20441655716152213,1.5397756739699537,0.17729858523199218,0.20483017916280666,0.9257182175080806
2,2015-10-14,2020-10-14,MinVar,0.2120939576877405,0.17863673725407547,1.684803059581776,0.14607419770898167,0.218280442359561,1.1644353373524086
2,2015-10-14,2020-10-14,MaxSharpe,0.21265630353368875,0.238734623680725,1.52459641278125,0.20332593993355827,0.20338715490656067,0.8393238147058603
3,2016-06-07,2021-06-07,SVR-CPO,0.23054595921828805,0.2246285249716374,1.806356359012768,0.20137647494310934,0.229251748724969,0.9362859255111798
3,2016-06-07,2021-06-07,XGBoost-CPO,0.20840108855308542,0.2265899226034984,1.5055960157871886,0.19197274097505923,0.2016918978470208,0.8667953987004017
3,2016-06-07,2021-06-07,EqualWeight,0.2254499707283972,0.22226387116594715,1.7425260706943155,0.1991923949792511,0.2236075569283813,0.9209687485684697
3,2016-06-07,2021-06-07,MinVar,0.15509823878531637,0.20966665672403006,0.9513106264518512,0.19075422907783732,0.1430710657737677,0.5929002954852791
3,2016-06-07,2021-06-07,MaxSharpe,0.3558976512645722,0.2868050910991795,3.8607886046192226,0.23724782811300343,0.3720190782778059,1.3230791352705649
4,2013-07-06,2018-07-06,SVR-CPO,0.19059727207410262,0.13583486985362875,1.4935506829971952,0.09979614529650477,0.20053411517401143,1.489008133857321
4,2013-07-06,2018-07-06,XGBoost-CPO,0.19590076439112727,0.13063208058961068,1.5700761138481876,0.09230995577757947,0.20781500959647348,1.6672173991931123
4,2013-07-06,2018-07-06,EqualWeight,0.18789405525734915,0.12988862900511458,1.4696304047366895,0.09526503601013313,0.19822159884555224,1.5314543652912775
4,2013-07-06,2018-07-06,MinVar,0.19015113682269646,0.1160760194602455,1.5193344423459019,0.08387061602860064,0.20300699589923643,1.7664248080898268
4,2013-07-06,2018-07-06,MaxSharpe,0.1460995034013651,0.14864108536098963,0.9746756676663699,0.1057029224200558,0.1457958535885644,0.9848308922593565
5,2019-06-28,2024-06-28,SVR-CPO,0.10271600274845079,0.25265159456001657,0.4259591806887999,0.20065794632973283,0.07351660457627318,0.302584591634755
5,2019-06-28,2024-06-28,XGBoost-CPO,0.12596572559899374,0.2498298042282683,0.6082796058058757,0.206588940005398,0.09965225286192525,0.4064386292741508
5,2019-06-28,2024-06-28,EqualWeight,0.14568032154546606,0.23620086010507474,0.806640123020782,0.19028199479928598,0.12552006210354127,0.544877205301692
5,2019-06-28,2024-06-28,MinVar,0.08163162137920656,0.21226880537532922,0.3451504597232664,0.1787217994327947,0.06106893673880309,0.2217503488941166
5,2019-06-28,2024-06-28,MaxSharpe,0.12903233892394714,0.23554511869794598,0.6639404856010995,0.17651977397990867,0.10715748876036346,0.49304583255274886
6,2017-05-13,2022-05-13,SVR-CPO,0.16531400339790256,0.2337501760016075,1.0025695999664928,0.19743468979615184,0.14901522136809198,0.624581240131723
6,2017-05-13,2022-05-13,XGBoost-CPO,0.07938855867932423,0.2403736160074417,0.28812290980040034,0.20036166756654264,0.05194848323122203,0.18660534788625183
6,2017-05-13,2022-05-13,EqualWeight,0.14261716478184824,0.21993914023618802,0.8143490659900348,0.1883590535853877,0.12655202732542148,0.5341774810746542
6,2017-05-13,2022-05-13,MinVar,0.13716740477004255,0.188511072908407,0.8246627616610622,0.15532887671090045,0.12783008055457468,0.6126832742579411
6,2017-05-13,2022-05-13,MaxSharpe,0.08846549944663167,0.204960369778703,0.4044159550649853,0.16197304573125682,0.07029424372688564,0.2868718016436297
7,2011-04-24,2016-04-24,SVR-CPO,0.20222381575640583,0.2184068371782776,1.4524300279883833,0.15752756203357265,0.19643012168802554,1.017116075993473
7,2011-04-24,2016-04-24,XGBoost-CPO,0.1532914561259031,0.20093639997833182,0.9532316622662307,0.14464094873741906,0.14321227703185513,0.7694325645494862
7,2011-04-24,2016-04-24,EqualWeight,0.19027531936629669,0.1991844135606689,1.356429336764747,0.14704598180098616,0.18691692133335014,1.0083602254903796
7,2011-04-24,2016-04-24,MinVar,0.18322419050751726,0.14567857297096884,1.3826769641363992,0.10221099876513318,0.18954828577994265,1.3816926966150778
7,2011-04-24,2016-04-24,MaxSharpe,0.25066763169709927,0.2079037331552471,2.1655396932579434,0.14244658431991258,0.2590659092966272,1.4648833644790291
8,2016-09-26,2021-09-26,SVR-CPO,0.2202597485042964,0.23524595195381598,1.6312767449646266,0.20571157115680921,0.21351405466292173,0.8665518789335047
8,2016-09-26,2021-09-26,XGBoost-CPO,0.20487680569830577,0.22976001526556414,1.452725940398207,0.1951984434998162,0.1965765137762514,0.8344165187898086
8,2016-09-26,2021-09-26,EqualWeight,0.1882241771875321,0.220112828542208,1.2792810493277282,0.1930121137632139,0.17915086316307738,0.7575906731269677
8,2016-09-26,2021-09-26,MinVar,0.15975221750901022,0.21367674484202936,0.9888192590628935,0.19464278040339866,0.14743274535772,0.6049657596596588
8,2016-09-26,2021-09-26,MaxSharpe,0.16342832306048807,0.23065862330191617,0.9893929060364706,0.19075420902830417,0.14749893895476496,0.6365695607926035
9,2016-05-15,2021-05-15,SVR-CPO,0.2181183908041276,0.21362016630884897,1.670303409658958,0.1870032899734768,0.2170931054449896,0.9417930071129067
9,2016-05-15,2021-05-15,XGBoost-CPO,0.1741578877942949,0.23499904676635353,1.0877303012299224,0.21578106583885187,0.15862696661559772,0.6124628557215123
9,2016-05-15,2021-05-15,EqualWeight,0.2198668508730162,0.20784761658045436,1.7105528808999106,0.18821967409619225,0.22074072986032012,0.9449960623251047
9,2016-05-15,2021-05-15,MinVar,0.1558704547490517,0.17674417396097455,1.0259248148098283,0.14959309427368958,0.1516832773167356,0.7612012793900689
9,2016-05-15,2021-05-15,MaxSharpe,0.19529488700966982,0.23481525314292662,1.325958898892707,0.1916093202499824,0.18394204996567054,0.8000387810450671
10,2019-06-20,2024-06-20,SVR-CPO,0.12585063780217945,0.23390375469352653,0.6410356403470794,0.17169839060042244,0.10409372360869251,0.48836006854203523
10,2019-06-20,2024-06-20,XGBoost-CPO,0.14147941720650764,0.23303494647514028,0.7764221258211341,0.18068248348120608,0.12173106308884307,0.5505758792431868
10,2019-06-20,2024-06-20,EqualWeight,0.1135567512848489,0.2329234421140387,0.5442700339915496,0.17598597027657292,0.09075987709996469,0.40660486271941454
10,2019-06-20,2024-06-20,MinVar,0.09029302284691607,0.1993711918926204,0.42518717703416553,0.15716894548476845,0.07340038834555962,0.30726822463535736
10,2019-06-20,2024-06-20,MaxSharpe,0.039889708942909,0.25409852133455824,0.039050060738078596,0.18451976768077782,0.007687632727668481,-0.011436666562153077
11,2016-10-01,2021-10-01,SVR-CPO,0.19854505206766657,0.23401296473130848,1.3636273314832938,0.20587173954544108,0.1877527102657246,0.7604008807294947
11,2016-10-01,2021-10-01,XGBoost-CPO,0.19426460270350493,0.24004673352675562,1.297643113338511,0.20685017461646912,0.18104489595791584,0.7361105833525452
11,2016-10-01,2021-10-01,EqualWeight,0.16773563247703055,0.22966599688918996,1.0348665993357287,0.20363622039239876,0.15269825859149622,0.6174522009627907
11,2016-10-01,2021-10-01,MinVar,0.10595414044490285,0.2023322626007849,0.5357782573446128,0.18696396307845553,0.08960930927091337,0.34206667098763754
11,2016-10-01,2021-10-01,MaxSharpe,0.1928395516861216,0.19459253455018496,1.3996289512616875,0.15531384390593683,0.191349612250443,0.9711919291462194
12,2018-11-19,2023-11-19,SVR-CPO,0.12571790570633692,0.23688488334869184,0.632825982923833,0.180128337914447,0.10304647553480839,0.46476810187467127
12,2018-11-19,2023-11-19,XGBoost-CPO,0.12253114917463785,0.2338609389819421,0.6132837558958149,0.1768738020441308,0.10039305258530384,0.455302867038189
12,2018-11-19,2023-11-19,EqualWeight,0.1491923744028119,0.2316174942343948,0.8485950150723232,0.1820952202309779,0.13077360447326059,0.5886611096482609
12,2018-11-19,2023-11-19,MinVar,0.08989736907615506,0.20984426794542202,0.40556649746804063,0.17780758611565417,0.07046957413830612,0.269377534010278
12,2018-11-19,2023-11-19,MaxSharpe,0.1346268500045622,0.24300506133785105,0.6938103183769067,0.19569044720925266,0.11116670997770384,0.47333352918099214
13,2013-09-21,2018-09-21,SVR-CPO,0.13037228264342096,0.13342675047441924,0.8440477790507739,0.09877626634878488,0.13021667711062368,0.8946712192114364
13,2013-09-21,2018-09-21,XGBoost-CPO,0.13729277738729498,0.12007438418502993,0.9258783883047736,0.08645300337790435,0.14007537620412025,1.1022494727077334
13,2013-09-21,2018-09-21,EqualWeight,0.14508195001854388,0.12623940130372144,0.9952558291976639,0.09305789343935725,0.14817459246782838,1.1077184987614077
13,2013-09-21,2018-09-21,MinVar,0.13889441691913815,0.10944168260728525,0.9534943218198613,0.07676686543546488,0.14332682659270923,1.262190612701176
13,2013-09-21,2018-09-21,MaxSharpe,0.15374777314683466,0.12324163741498975,1.0883046793183642,0.08668157657168227,0.15869072081062008,1.2891755960901752
14,2015-06-11,2020-06-11,SVR-CPO,0.15634466234291813,0.21432976873447288,0.9559666661310098,0.17845744805103278,0.14353212206376753,0.640739087057994
14,2015-06-11,2020-06-11,XGBoost-CPO,0.13879994029304024,0.22888492803469085,0.761644133117412,0.19050362775046287,0.11985926141537062,0.5081264931071898
14,2015-06-11,2020-06-11,EqualWeight,0.1453361716043645,0.2117670694893547,0.8559316849875453,0.17804759612381416,0.1315932489909013,0.5803850984458369
14,2015-06-11,2020-06-11,MinVar,0.12565507073236104,0.18823067378155697,0.7218731418961155,0.15678544546688397,0.1147586584706981,0.5335640083379458
14,2015-06-11,2020-06-11,MaxSharpe,0.2506574355901552,0.23073429676572194,2.0879641862173597,0.18182408133796013,0.25283606843647344,1.1475786598493483
15,2019-10-19,2024-10-19,SVR-CPO,0.25247947803831133,0.22225100288657873,2.142926590155976,0.18129655849606865,0.25726265412231775,1.1609678627345565
15,2019-10-19,2024-10-19,XGBoost-CPO,0.1887194431284782,0.23349630171953364,1.2510618080472433,0.19710069078490447,0.17611165105849658,0.7443882745626335
15,2019-10-19,2024-10-19,EqualWeight,0.1949145435693287,0.2188377990647178,1.3614325335408268,0.18470628314358117,0.18742030207620264,0.8278794904365044
15,2019-10-19,2024-10-19,MinVar,0.12045528079992605,0.18317406816588894,0.6844740912069736,0.15061898982898472,0.10987552383022847,0.5208857189190119
15,2019-10-19,2024-10-19,MaxSharpe,0.09570486028154157,0.20922970275533648,0.4495014134752897,0.16747557386018538,0.07703667562747918,0.3206727945077908
16,2010-12-26,2015-12-26,SVR-CPO,0.1667862895421785,0.16581499619174986,1.160522881469198,0.12321357910382977,0.1665972141882468,1.0127640999457002
16,2010-12-26,2015-12-26,XGBoost-CPO,0.15557630702259817,0.16049763764147698,1.0510221817860304,0.11738299813238143,0.1545230656843224,0.967570336672691
16,2010-12-26,2015-12-26,EqualWeight,0.16954306942455685,0.15460834910938218,1.2106416314623227,0.115380790418195,0.17196084600019934,1.105409912363054
16,2010-12-26,2015-12-26,MinVar,0.15303769545468432,0.12366048493698172,1.0791203998722736,0.08644924395991872,0.15766960845034483,1.2844264491909931
16,2010-12-26,2015-12-26,MaxSharpe,0.1937895799132139,0.1736823052530221,1.4587151609971194,0.11848142175954919,0.19716039894550486,1.2811255778248642
17,2015-05-21,2020-05-21,SVR-CPO,0.16380267449992933,0.21701326536747098,1.0253643916133517,0.18935036576828515,0.15153056417626076,0.6432661167868228
17,2015-05-21,2020-05-21,XGBoost-CPO,0.12528622331282824,0.21867629743624348,0.6645648112218714,0.19360289732422156,0.10724052530536698,0.43019099643612785
17,2015-05-21,2020-05-21,EqualWeight,0.14609173259034985,0.20152604819891046,0.8830021559574286,0.1774796689886034,0.13487387268455264,0.5864994744667568
17,2015-05-21,2020-05-21,MinVar,0.15196554918337035,0.18339118929484233,0.9745384950441938,0.1531671450909796,0.14569459105468918,0.7179447597463021
17,2015-05-21,2020-05-21,MaxSharpe,0.11310119373028389,0.20057936495535378,0.5974389106433802,0.15922626527274725,0.09816639636556079,0.4465418667484967
18,2013-06-15,2018-06-15,SVR-CPO,0.15817608434347355,0.14377274567300194,1.106027715619538,0.1052467012808177,0.16065106336330226,1.1038453740558978
18,2013-06-15,2018-06-15,XGBoost-CPO,0.1569605734776761,0.1401029434702893,1.0987652571107756,0.09978238361953352,0.1598493657963609,1.1521129212147954
18,2013-06-15,2018-06-15,EqualWeight,0.15965155809659265,0.13710720385810996,1.1317480380088947,0.10094701094500023,0.16347264257729077,1.165478373210017
18,2013-06-15,2018-06-15,MinVar,0.09930755330730988,0.11337322372212512,0.5967696941637022,0.08130172183710437,0.0981306706436087,0.704875026166493
18,2013-06-15,2018-06-15,MaxSharpe,0.14795474959911772,0.1394464229140618,1.0066787091637202,0.09634698465147398,0.14948643641128956,1.0997204529274984
19,2013-01-19,2018-01-19,SVR-CPO,0.2563214213737783,0.15415403614342102,2.422409935742215,0.10935162156203271,0.27903090040298917,1.9599290647208059
19,2013-01-19,2018-01-19,XGBoost-CPO,0.22981786090125708,0.1477761924633353,2.009516613725302,0.107376834240138,0.24655788844257676,1.7491469387262846
