Date,MMM,AOS,ABT,ABBV,ACN,ADBE,AMD,AES,AFL,A,APD,AKAM,ALB,ARE,ALGN,ALLE,LNT,ALL,GOOGL,GOOG,MO,AMZN,AMCR,AEE,AEP,AXP,AIG,AMT,AWK,AMP,AME,AMGN,APH,ADI,ANSS,AON,APA,APO,AAPL,AMAT,APTV,ACGL,ADM,ANET,AJG,AIZ,T,ATO,ADSK,ADP,AZO,AVB,AVY,AXON,BKR,BALL,BAC,BAX,BDX,BBY,TECH,BIIB,BLK,BX,BK,BA,BKNG,BWA,BSX,BMY,AVGO,BR,BRO,BLDR,BG,BXP,CHRW,CDNS,CZR,CPT,CPB,COF,CAH,KMX,CCL,CAT,CBOE,CBRE,CDW,CE,COR,CNC,CNP,CF,CRL,SCHW
31/01/2010,42.24120712,5.664520741,18.2773037,,31.12179565,32.29999924,7.460000038,8.52207756,16.69704819,17.92489815,48.23268509,24.70000076,28.9441452,37.07127762,18.75,,9.294550896,21.28282166,13.21386051,13.15177059,7.962877274,6.270500183,,14.68803787,19.17822075,30.34523582,15.55543423,32.12781906,15.38316536,27.59334755,14.70046997,40.79615021,4.404568195,18.94857025,41.86000061,33.26464844,75.9401474,,5.77977562,9.464568138,,7.558586597,20.00371552,,15.25460243,23.25379753,6.370485306,17.73925209,23.79000092,25.04999161,155.0299988,47.04908752,23.39546013,5.639999866,23.23769951,11.03567982,12.0463171,23.26169777,57.19192886,22.84393883,14.07972908,53.74000168,144.810791,5.725833893,20.56069565,47.2217865,193.6331635,13.12441921,8.630000114,14.67187881,1.235369802,15.89015293,7.440561771,3.349999905,40.75328445,37.26052475,39.88468933,5.809999943,,21.83202553,20.91031456,29.1913929,22.26070595,20.62999916,24.83922005,35.69749832,,12.30000019,,22.61835289,21.92388535,4.8125,7.838681221,13.24043846,36.34000015,15.05653667
28/02/2010,42.33899689,6.026370525,18.73993874,,30.34735489,34.65000153,7.909999847,7.887810707,17.15064812,20.11834717,43.54656982,26.29999924,30.37838554,38.24429321,18.10000038,,9.422653198,22.22146034,13.1355648,13.07384491,8.067126274,5.920000076,,14.20514297,18.83773041,30.77228928,15.90210915,32.28674698,15.85804272,29.015028,15.74935246,39.49162674,4.60467577,20.551054,43.86000061,35.00911331,79.68449402,,6.157752037,9.557061195,,7.816386223,19.69579887,,16.05284691,22.69135857,6.232323647,17.85004616,27.87999916,25.55358505,165.9299927,50.00310516,22.74058914,7.559999943,24.59254265,11.76402569,13.22079277,22.99510956,59.08896637,22.7504425,13.77348328,55.00999832,148.1834869,6.599106789,20.15782166,49.55262375,224.7175598,14.010849,7.739999771,14.76222515,1.290101409,15.39267349,7.125483036,3,41.45778656,39.01813126,37.56049728,5.699999809,,22.55280876,21.04925537,29.93858528,22.86654282,20.19000053,26.87951469,38.98435211,,13.19999981,,24.24283218,22.61781883,4.46750021,7.625916481,15.16270351,37.91999817,15.12486076
31/03/2010,44.14560699,6.993515968,18.18754959,,31.85068512,35.36999893,9.270000458,7.422235012,18.82929611,21.99205399,47.268116,31.42000008,34.66077805,42.17093277,19.34000015,,9.908233643,23.1203022,14.14093018,14.07448578,8.368181229,6.788499832,,15.21859455,19.15150261,33.3908844,21.91756248,32.24891281,15.50184345,32.87840271,16.75066185,41.74491119,4.665960789,20.39356232,43.18999863,36.52269745,78.03912354,,7.071994781,10.51745701,,8.056223869,19.38721848,,16.82210159,25.56123734,6.491062164,18.57159424,29.37999916,27.52425194,173.0899963,53.57582855,26.36893082,5.869999886,24.03829193,11.62034893,14.1737442,23.62326813,60.02409363,26.51517677,13.70022202,57.38999939,148.1648102,6.742303371,21.82586861,56.96670151,252.7589264,14.28014851,7.21999979,16.27412033,1.461404324,15.74067879,7.60957098,3.150000095,42.87705231,43.61803818,39.52101898,6.670000076,,23.69257164,22.49861526,32.84126663,24.37145233,25.12000084,29.06217575,42.94768906,,15.85000038,,24.75582314,23.32765007,6.010000229,8.184467316,13.01332855,39.31000137,15.43875408
30/04/2010,46.83966446,6.894053936,17.81157303,,33.42464447,33.59999847,9.069999695,7.786600113,17.67435455,23.18789864,49.07701874,38.83000183,37.12434769,44.17343521,17,,10.3073082,23.37790871,13.10813713,13.04654503,8.641411781,6.855000019,,15.14856052,19.21874237,37.32398987,24.97344398,30.88661003,15.51608753,33.60322189,17.47385406,39.97995377,5.110548496,21.1790123,44.95999908,36.43465042,78.35079956,,7.857140541,10.75950241,,7.985434532,18.74321747,,18.00068855,27.085392,6.687678337,19.22814178,33.99000168,26.84343147,185.0099945,64.55157471,28.26640701,4.75,25.53683853,11.58334064,14.15786743,19.166502,58.22480392,28.46070671,14.27555466,53.29000092,125.1943741,6.732673645,22.06689835,56.82546997,259.7469482,16.21009827,6.880000114,15.42689705,1.457849979,17.52972221,8.552279472,3.839999914,36.83821106,45.59540939,42.68411255,7.449999809,,27.562603,22.82320213,34.42741394,23.46504402,24.56999969,31.17007065,46.81861496,,17.31999969,,24.89429283,24.88443756,5.724999905,8.184467316,11.94149113,33.47999954,15.93437767
31/05/2010,42.15868759,6.225077152,16.55821419,,28.73722839,32.08000183,8.569999695,6.929668903,15.45878601,20.6938839,44.14247131,39.72000122,35.01038361,40.91078949,14.92000008,,9.686457634,22.06503868,12.10900688,12.05210876,8.274384499,6.272999763,,14.38997364,18.13588142,32.26600266,22.71362877,30.6746769,14.63149452,28.95455933,16.40320206,36.12219238,4.689185619,20.80083847,43.72999954,33.86893082,68.94189453,,7.730443001,10.14383221,,7.767784595,17.04619026,,16.91804314,25.91622162,6.236012936,17.84910774,29.26000023,25.30226135,190.8800049,60.84127808,24.89768028,4.46999979,19.63569832,10.74355412,12.49830818,17.1410675,54.35943985,26.41618347,13.10089874,47.43000031,114.2263184,5.167919159,19.2810688,50.64510345,189.4799805,13.9360466,6.050000191,14.14690876,1.467801094,14.07678795,8.35532856,3.369999886,34.06418228,44.33498001,41.12026596,6.699999809,,25.97475815,22.79137993,32.79204178,23.3297596,21.72999954,27.15390968,41.77851105,,15.82999992,,22.31070137,25.2957077,5.704999924,7.8709445,9.802897453,33.54000092,13.54051685
30/06/2010,41.98860931,6.434714794,16.28665543,,29.60271072,26.43000031,7.320000172,6.234677315,14.88998222,18.18069649,41.72753525,40.56999969,32.39505005,39.73778915,14.86999989,,9.565906525,20.69632912,11.09466553,11.04253387,8.315666199,5.462999821,,14.09590149,18.32880783,32.27333832,22.11015701,33.67933273,14.81853485,26.29123878,16.24493217,36.69422531,4.345720768,19.8666954,40.56999969,31.85241508,64.82263184,,7.569440365,9.437218666,,7.871326447,17.41719818,,16.91460228,25.91622162,6.20778513,17.7964592,24.36000061,25.12648392,193.2200012,58.44962692,23.40440369,3.900000095,21.40156174,11.52450562,11.41785431,16.61240196,51.82741547,21.17045784,12.43016529,47.45000076,98.16574097,4.638997078,17.50182724,49.51667404,174.9884644,13.96596146,5.800000191,15.39618492,1.496943951,14.12590027,8.159234047,2.400000095,34.36458206,41.51800156,39.5598259,5.789999962,,23.48855019,22.80410957,31.99803543,22.86358833,19.89999962,22.66447258,41.30408478,23.04279137,13.60999966,,19.3847065,25.67577934,5.375,7.605112553,9.068284988,34.20999908,11.75058365
31/07/2010,45.4703598,7.329394341,17.24609184,,30.36096573,28.71999931,7.489999771,6.956659317,17.16518402,17.86095047,46.73019409,38.36000061,35.58481216,44.24020386,17.35000038,,10.53123188,20.34334183,12.08955669,12.03275108,9.195367813,5.894499779,,15.04472542,20.41703987,36.28919601,24.69738197,34.99623108,15.37962341,30.84654808,17.91191483,38.04061127,4.956423759,21.18590736,44.95000076,32.4572258,73.72163391,,7.741576195,9.264494896,,8.268590927,18.45602798,,17.63615608,27.85059929,6.812066078,19.08643913,29.54000092,25.7568264,211.5700073,65.78632355,26.11415291,4.099999905,24.92743683,12.70466328,11.15565014,17.89185143,52.73181915,21.76062393,12.63571453,55.88000107,107.8111649,5.410544395,17.83256531,53.76997757,222.4278412,16.40458488,5.599999905,15.3838377,1.54670012,15.05279064,8.534367561,2.140000105,34.6859436,47.66364288,46.34029388,6.960000038,,26.17378235,23.025383,33.60985947,21.95203781,21.10000038,25.99219894,48.27943039,18.83066559,17,,21.90078545,24.23631477,5.327499866,8.22345829,11.60369015,31.07999992,12.25607014
31/08/2010,42.01704407,6.883038998,17.33744812,,28.03258705,27.70000076,5.610000134,6.909425735,16.5854454,17.24703026,47.66377258,46.06999969,32.70505524,43.50025177,15.98999977,,10.67140388,20.02845192,11.22108459,11.16835976,9.261761665,6.241499901,,16.64585686,20.32807922,32.41152954,21.78275108,35.46546936,16.40207863,31.84635735,17.39402199,35.60596085,4.505036354,20.03125572,38.77999878,31.22509766,69.30204773,,7.31575489,8.193483353,,8.431300163,20.8875618,,17.24068451,27.42756081,7.098307133,18.84571266,27.72999954,24.0967083,209.7799988,65.8677063,23.83297157,3.630000114,19.40694809,12.25516605,9.900245667,17.39315224,52.26429749,19.70761299,12.5450182,53.79999924,97.86144257,4.941139698,17.25639915,48.53142929,288.918335,16.32604408,5.190000057,16.09994125,1.432261348,15.83138275,8.148350716,1.99000001,37.18466187,47.37265396,46.19104004,6.789999962,,26.31177711,23.89765358,30.10541916,20.38062859,19.93000031,23.43978882,45.10232162,14.80259895,16.42000008,,20.81705093,22.1216259,5.054999828,8.661669731,13.23639584,28.25,10.61571789
30/09/2010,46.38188934,7.759665012,18.35647583,,32.5438385,26.14999962,7.110000134,7.65839529,18.15096474,21.33976936,53.63612747,50.18000031,38.3178978,44.11537552,19.57999992,,11.07668114,22.8948288,13.11038208,13.04877949,10.12862396,7.853000164,,17.07095146,20.79883003,34.16744232,25.10183716,38.79556274,16.90329361,34.58669662,19.35345078,38.44522476,5.420647144,22.54592896,42.25,33.69795227,75.40309906,,8.5390625,9.228531837,,8.85392189,21.64009094,,18.51956367,30.53340149,7.510604858,19.47834206,31.96999931,26.45785332,228.9100037,65.61373138,27.20418739,3.880000114,21.9993515,12.8604908,10.41712189,19.63067627,57.0931282,25.63433266,13.41423798,56.11999893,117.3717117,6.214375973,18.58655167,52.82646179,345.2786255,19.6810112,6.130000114,16.92975616,1.600010276,17.07261467,8.640504837,2.279999971,41.50650406,48.65979767,49.88689041,7.630000114,,27.84415054,22.92917252,31.44096184,22.60863495,27.86000061,28.70961189,54.46058273,14.44744873,18.28000069,,25.02723503,24.86249924,5.897500038,9.206317902,13.66567898,33.15000153,11.56414032
31/10/2010,45.04996872,7.538276672,18.18271828,,34.58450699,28.14999962,7.340000153,8.05649662,19.61821175,22.25424385,55.02853012,51.66999817,41.0355835,46.30852509,17.02000046,,11.25281143,22.1256237,15.30238438,15.2304821,10.7189703,8.261500359,,17.41958046,21.49346542,33.86330414,26.97004128,39.06046677,17.3463974,37.77278519,21.89772224,39.89624023,5.547918797,24.19125366,45.25,34.37555313,78.03201294,,9.057570457,9.757906914,,9.127570152,22.58921051,,19.77667236,29.66317177,7.634187222,19.61152458,36.20000076,28.00641251,237.6300049,67.11625671,26.63987541,3.970000029,24.04968262,14.06459236,9.105043411,20.95557404,58.18725586,27.08366203,13.23821926,62.70999908,117.8818741,6.601245403,17.88978195,56.0814743,373.4984131,20.98634338,6.389999866,16.79861641,1.754253507,16.42315674,9.539221764,2.019999981,42.14496231,50.45701599,50.28645325,8.470000267,,28.78447914,23.42843437,29.62844276,23.73768425,30.98999977,32.45335007,54.70487595,17.17244339,18.35000038,,27.83569527,26.62216949,5.579999924,9.698256493,17.53357124,32.77000046,12.82038975
30/11/2010,45.20330811,7.953332901,16.47852325,,33.50928116,27.79999924,7.289999962,7.294032574,18.1770401,22.39493179,55.8380661,52.18999863,44.27716827,42.06716156,17.48999977,,11.18504429,21.26692772,13.85642624,13.79131699,10.12019253,8.770000458,,17.26329231,20.68959618,35.30083084,26.50780296,38.27335739,17.96298981,38.01351547,23.97202873,36.7570076,5.53685236,25.54918289,48.5,34.69551086,83.14553833,,9.363622665,9.876293182,,9.540681839,19.75182724,,19.7204895,26.58194351,7.438779831,20.24917412,35.29000092,28.05677986,259.4100037,69.65423584,27.65690422,4.03000021,27.02350807,14.41898346,8.707442284,19.97630501,60.04411697,26.91983414,13.11137962,63.97000122,112.3734894,6.313663006,19.26756477,50.933918,390.586853,22.56847,6.420000076,15.76197052,1.855898142,15.37057877,9.822693825,1.580000043,42.83485413,49.05786133,52.59101105,7.860000134,,29.64354706,21.90962601,29.63360023,24.34669685,32.90000153,31.13043594,58.88080978,17.01508522,19.19000053,,28.8897934,25.09813499,5.8125,9.262480736,17.29553795,32.65000153,12.55194283
